Date,Equity,Ret
2023-01-02,100000000.0,
2023-01-03,100000000.0,0.0
2023-01-04,99914010.97903751,-0.0008598902096249583
2023-01-05,100069203.63958919,0.0015532622405103336
2023-01-06,99787089.77690881,-0.002819187646345589
2023-01-09,99683774.81308514,-0.0010353540127751026
2023-01-10,100746950.60862255,0.010665484904950118
2023-01-11,101415906.09608757,0.006639957670418806
2023-01-12,100946608.61135669,-0.00462745443782997
2023-01-13,100573195.2449646,-0.003699117499129989
2023-01-16,100676487.64906996,0.0010270371131571032
2023-01-17,100876828.31013155,0.0019899448792841667
2023-01-18,100162557.84059587,-0.007080619816274947
2023-01-19,100325281.8747416,0.0016245994277093168
2023-01-20,100856844.72436228,0.005298393781582922
2023-01-23,100859337.39296812,2.471491759092892e-05
2023-01-24,101709115.83667481,0.008425381979219049
2023-01-25,102033280.91661903,0.003187178231543797
2023-01-26,102238246.61058939,0.002008812145694483
2023-01-27,100914166.8218044,-0.01295092426446054
2023-01-30,100375562.02862003,-0.0053372565036923225
2023-01-31,101476517.28286965,0.0109683595488681
2023-02-01,101277361.42803416,-0.0019625807050545063
2023-02-02,102275470.70372291,0.009855206154812723
2023-02-03,101587421.17998412,-0.0067274148826160785
2023-02-06,101680036.83306041,0.0009116842616980758
2023-02-07,101679929.6537759,-1.0540838482064885e-06
2023-02-08,101851802.95164897,0.001690336514377
2023-02-09,101348803.85610238,-0.004938538945504667
2023-02-10,104046150.01209404,0.0266144843684728
2023-02-13,103910258.48117243,-0.0013060697671736232
2023-02-14,103337508.69553468,-0.005511965748228098
2023-02-15,104647505.34123038,0.012676874662765236
2023-02-16,104351374.1104325,-0.0028297973261021125
2023-02-17,104299185.71432078,-0.0005001217909837985
2023-02-22,104626304.10976565,0.0031363465899039156
2023-02-23,103497008.32520154,-0.01079361250665356
2023-02-24,103084543.47206587,-0.0039852828580286825
2023-02-27,102700866.50618269,-0.0037219640594048364
2023-02-28,103026971.62612882,0.0031752908328821494
2023-03-01,102496375.25662224,-0.0051500724628891215
2023-03-02,103418155.6194119,0.008993297182283477
2023-03-03,101620248.75061515,-0.017384828205728287
2023-03-06,101550418.95503008,-0.0006871641867010059
2023-03-07,101758997.71216121,0.002053942852008328
2023-03-08,102314744.91816674,0.005461406052539308
2023-03-09,103249961.45263036,0.009140584137815377
2023-03-10,102255488.85391515,-0.009631699467233745
2023-03-13,102455319.58568105,0.001954229880523961
2023-03-14,102563547.42987035,0.001056341872993638
2023-03-15,102207464.42334145,-0.003471828105130359
2023-03-16,102774813.56158245,0.00555095600347788
2023-03-17,105190662.17123783,0.023506231983654313
2023-03-20,106127088.71638973,0.008902183195952373
