Symbol,Entry,Exit,Entry_Price,Exit_Price,Type,PnL,PnL_%,Reason
RECV3<XBSP>,2023-01-23,2023-01-30,25.69345236,24.92187722,long,-335984.93019235134,-3.0999030767843476,Stop Loss
INTB3<XBSP>,2023-01-24,2023-01-30,28.51419428,28.01717475,long,-204354.83975372836,-1.8412188344128801,Below VWAP
NATU3<XBSP>,2023-01-30,2023-01-31,13.10387488,13.96786663,long,1015736.3393821251,6.486919671219561,Take Profit
AMER3<XBSP>,2023-01-30,2023-01-31,145.0,175.0,short,-1970178.4000000004,-19.49470809149881,Stop Loss (Short)
ISAE4<XBSP>,2023-01-18,2023-02-01,18.82498192,18.51314699,long,-180848.81760613993,-1.7547405024953129,Below VWAP
LIGT3<XBSP>,2023-01-31,2023-02-01,3.81,3.46,short,1084455.0226999987,10.085496738650232,Take Profit (Short)
LIGT3<XBSP>,2023-02-01,2023-02-03,3.46,3.16,short,977849.7623999994,9.574772506152343,Take Profit (Short)
LIGT3<XBSP>,2023-02-03,2023-02-07,3.16,2.66,short,1701062.0556000005,16.656222584283746,Take Profit (Short)
RAIZ4<XBSP>,2023-02-01,2023-02-08,2.88889104,3.02645728,short,-476680.2857368607,-3.7246581801037246,Stop Loss (Short)
LIGT3<XBSP>,2023-02-07,2023-02-08,2.66,2.83,short,-545117.1750000007,-5.337601429315872,Stop Loss (Short)
PSSA3<XBSP>,2023-01-30,2023-02-10,21.6220067,23.09820796,long,841648.6475444455,6.720588645330622,Take Profit
TTEN3<XBSP>,2023-02-08,2023-02-10,10.28850979,11.93080712,long,2009969.006900074,15.846594648263743,Take Profit
ASAI3<XBSP>,2023-01-31,2023-02-14,19.22095127,18.04715272,short,948129.8042233177,7.036505172909892,Take Profit (Short)
ALPA4<XBSP>,2023-02-10,2023-02-15,9.422619073,9.87506216,short,-521487.8589871116,-3.764029847529561,Stop Loss (Short)
SLCE3<XBSP>,2023-01-27,2023-02-22,20.07476813,19.8093232,long,-165067.5030798968,-1.4208605639637515,Below VWAP
ARML3<XBSP>,2023-02-15,2023-02-22,12.12268966,13.02199898,long,872973.9005219527,7.31108652343402,Take Profit
ODPV3<XBSP>,2023-02-22,2023-02-23,10.94596302,10.15439959,long,-844006.35122367,-7.324231626489308,Stop Loss
ITUB4<XBSP>,2023-02-08,2023-02-24,20.0580342,19.37132197,long,-357100.62337889895,-3.520106671270902,Stop Loss
